entry_ts,entry,stop,target1,target1_name,direction,entry_tf,rr,near_level,outcome,exit_price,exit_ts,pnl_pts,pnl_dollars,risk_pts,mfe_pts,mae_pts,mfe_r,mae_r,r_multiple,bars_held,reached_0_5r,reached_1r,reached_2r,reached_3r,signal_type,quality,regime,adx
2026-04-27 17:35:00,7205.0,7199.75,7217.57,D_FR2,LONG,1m,2.39,W_FR1,TIMEOUT,7205.75,2026-04-27 18:35:00,0.75,3.75,5.25,2.25,3.75,0.43,0.71,0.14,60,False,False,False,False,pivot,C,neutral,22.9
2026-04-27 19:15:00,7205.0,7201.25,7217.57,D_FR2,LONG,1m,3.35,W_FR1,TIMEOUT,7204.75,2026-04-27 20:15:00,-0.25,-1.25,3.75,6.5,1.75,1.73,0.47,-0.07,60,True,True,False,False,pivot,B,trending,30.5
2026-04-27 22:30:00,7219.75,7216.5,7233.37,W_FR2,LONG,1m,4.19,D_R1,LOSS,7216.5,2026-04-27 22:50:00,-3.25,-16.25,3.25,0.25,3.5,0.08,1.08,-1.0,20,False,False,False,False,pivot,B,trending,39.2
2026-04-28 00:09:00,7221.75,7216.25,7233.37,W_FR2,LONG,1m,2.11,D_FR2,LOSS,7216.25,2026-04-28 00:26:00,-5.5,-27.5,5.5,1.25,6.25,0.23,1.14,-1.0,17,False,False,False,False,pivot,C,trending,49.5
2026-04-28 06:36:00,7195.5,7201.25,7180.62,D_FS1,SHORT,1m,2.59,D_PP,TIMEOUT,7194.75,2026-04-28 07:36:00,0.75,3.75,5.75,4.75,2.0,0.83,0.35,0.13,60,True,False,False,False,pivot,B,trending,33.0
2026-04-28 09:25:00,7195.75,7201.25,7180.62,D_FS1,SHORT,1m,2.75,D_PP,TIMEOUT,7188.75,2026-04-28 10:25:00,7.0,35.0,5.5,9.75,0.75,1.77,0.14,1.27,60,True,True,False,False,pivot,C,trending,44.6
2026-04-28 12:09:00,7155.0,7160.5,7140.25,D_S3,SHORT,1m,2.68,D_S2,LOSS,7160.5,2026-04-28 12:20:00,-5.5,-27.5,5.5,4.0,9.25,0.73,1.68,-1.0,11,True,False,False,False,pivot,C,trending,64.0
2026-04-28 12:35:00,7154.5,7156.0,7140.25,D_S3,SHORT,1m,9.5,D_S2,LOSS,7156.0,2026-04-28 12:39:00,-1.5,-7.5,1.5,3.0,1.5,2.0,1.0,-1.0,4,True,True,True,False,pivot,C,trending,65.9
2026-04-28 12:42:00,7155.75,7158.5,7140.25,D_S3,SHORT,1m,5.64,D_S2,LOSS,7158.5,2026-04-28 12:43:00,-2.75,-13.75,2.75,0.25,3.5,0.09,1.27,-1.0,1,False,False,False,False,pivot,C,trending,65.9
2026-04-28 14:28:00,7168.25,7171.0,7158.75,W_PP,SHORT,1m,3.45,SMMA21,WIN,7158.75,2026-04-28 14:35:00,9.5,47.5,2.75,11.0,1.75,4.0,0.64,3.45,7,True,True,True,True,pullback,C,trending,48.3
2026-04-28 15:26:00,7155.75,7162.25,7140.25,D_S3,SHORT,1m,2.38,D_S2,TIMEOUT,7158.5,2026-04-28 16:26:00,-2.75,-13.75,6.5,8.25,4.0,1.27,0.62,-0.42,60,True,True,False,False,pivot,C,trending,44.2
2026-04-29 00:00:00,7180.75,7178.0,7204.88,W_FR1,LONG,1m,8.77,D_PP,TIMEOUT,7182.5,2026-04-29 01:00:00,1.75,8.75,2.75,7.25,0.0,2.64,0.0,0.64,60,True,True,True,False,pivot,C,trending,38.4
2026-04-29 01:46:00,7181.0,7178.25,7204.88,W_FR1,LONG,1m,8.68,D_PP,LOSS,7178.25,2026-04-29 01:50:00,-2.75,-13.75,2.75,0.5,3.25,0.18,1.18,-1.0,4,False,False,False,False,pivot,C,trending,41.8
2026-04-29 02:00:00,7181.0,7177.0,7204.88,W_FR1,LONG,1m,5.97,D_PP,TIMEOUT,7182.0,2026-04-29 03:00:00,1.0,5.0,4.0,4.5,2.5,1.12,0.62,0.25,60,True,True,False,False,pivot,C,trending,39.5
2026-04-29 10:02:00,7169.0,7174.0,7158.75,W_PP,SHORT,1m,2.05,M_R2,LOSS,7174.0,2026-04-29 10:14:00,-5.0,-25.0,5.0,0.0,5.0,0.0,1.0,-1.0,12,False,False,False,False,pivot,C,trending,31.4
2026-04-29 12:46:00,7169.0,7171.5,7158.75,W_PP,SHORT,1m,4.1,M_R2,LOSS,7171.5,2026-04-29 13:01:00,-2.5,-12.5,2.5,3.0,2.75,1.2,1.1,-1.0,15,True,True,False,False,pivot,B,trending,34.1
2026-04-29 16:29:00,7151.0,7157.0,7138.17,D_S1,SHORT,1m,2.14,D_FS1,TIMEOUT,7152.5,2026-04-29 17:29:00,-1.5,-7.5,6.0,9.0,4.0,1.5,0.67,-0.25,60,True,True,False,False,pivot,C,trending,49.0
